compound,salinity,group,headspace_mL,date,day,umoles.mean,umoles.sd
DBT,brackish,sterile_control,97,2014-11-04,77,NA,NA
PHEN,brackish,sterile_control,97,2014-11-04,77,NA,NA
26-diMN,fresh,sterile_control,97,2014-11-04,77,NA,NA
DBT,fresh,sterile_control,97,2014-11-04,77,NA,NA
PHEN,fresh,sterile_control,97,2014-11-04,77,NA,NA
26-diMN,saline,sterile_control,97,2014-11-04,77,NA,NA
DBT,saline,sterile_control,97,2014-11-04,77,NA,NA
PHEN,saline,sterile_control,97,2014-11-04,77,NA,NA
medium_only,brackish,medium_only_control,100,2014-11-04,77,NA,NA
medium_only,fresh,medium_only_control,100,2014-11-04,77,NA,NA
medium_only,saline,medium_only_control,100,2014-11-04,77,NA,NA
26-diMN,brackish,treatment,77,2014-11-18,91,19.4666666666667,9.49438430512128
DBT,brackish,treatment,77,2014-11-18,91,31.6,16.6694331037381
PHEN,brackish,treatment,77,2014-11-18,91,11.8666666666667,3.78593889720018
26-diMN,fresh,treatment,77,2014-11-18,91,11.5,5.81033561853358
DBT,fresh,treatment,77,2014-11-18,91,28.4666666666667,13.3721102797327
PHEN,fresh,treatment,77,2014-11-18,91,19.5333333333333,18.8048752543944
26-diMN,saline,treatment,77,2014-11-18,91,8.73333333333333,6.46554973171913
DBT,saline,treatment,77,2014-11-18,91,-1.53333333333333,1.05039675043925
PHEN,saline,treatment,77,2014-11-18,91,3.13333333333333,6.10928255471404
none,brackish,unamended_control,77,2014-11-18,91,4.86666666666667,1.17189305541646
none,fresh,unamended_control,77,2014-11-18,91,12.9333333333333,15.5249261941348
none,saline,unamended_control,77,2014-11-18,91,-3.3,1.82482875908947
26-diMN,brackish,sterile_control,97,2014-11-18,91,NA,NA
DBT,brackish,sterile_control,97,2014-11-18,91,NA,NA
PHEN,brackish,sterile_control,97,2014-11-18,91,NA,NA
26-diMN,fresh,sterile_control,97,2014-11-18,91,NA,NA
DBT,fresh,sterile_control,97,2014-11-18,91,NA,NA
PHEN,fresh,sterile_control,97,2014-11-18,91,NA,NA
26-diMN,saline,sterile_control,97,2014-11-18,91,NA,NA
DBT,saline,sterile_control,97,2014-11-18,91,NA,NA
PHEN,saline,sterile_control,97,2014-11-18,91,NA,NA
medium_only,brackish,medium_only_control,100,2014-11-18,91,NA,NA
medium_only,fresh,medium_only_control,100,2014-11-18,91,NA,NA
medium_only,saline,medium_only_control,100,2014-11-18,91,NA,NA
26-diMN,brackish,treatment,77,2014-12-04,107,17.4666666666667,10.9819548957976
DBT,brackish,treatment,77,2014-12-04,107,36.3666666666667,21.556978761722
PHEN,brackish,treatment,77,2014-12-04,107,12.5333333333333,9.18821709219658
26-diMN,fresh,treatment,77,2014-12-04,107,12.3333333333333,8.30501856309384
DBT,fresh,treatment,77,2014-12-04,107,28.8666666666667,14.609699974104
PHEN,fresh,treatment,77,2014-12-04,107,16.3333333333333,17.9059580400864
26-diMN,saline,treatment,77,2014-12-04,107,6.8,6.10245852095694
DBT,saline,treatment,77,2014-12-04,107,-4.93333333333333,0.702376916856849
PHEN,saline,treatment,77,2014-12-04,107,1.2,6.87677249878168
none,brackish,unamended_control,77,2014-12-04,107,3.43333333333333,1.22202018532156
none,fresh,unamended_control,77,2014-12-04,107,16.1,20.4648479105025
none,saline,unamended_control,77,2014-12-04,107,-6.4,2.1
26-diMN,brackish,sterile_control,97,2014-12-04,107,NA,NA
DBT,brackish,sterile_control,97,2014-12-04,107,NA,NA
PHEN,brackish,sterile_control,97,2014-12-04,107,NA,NA
26-diMN,fresh,sterile_control,97,2014-12-04,107,NA,NA
DBT,fresh,sterile_control,97,2014-12-04,107,NA,NA
PHEN,fresh,sterile_control,97,2014-12-04,107,NA,NA
