compound,salinity,group,replicate,headspace_mL,replicate,2014-08-19,2014-09-03,2014-10-25,2014-11-04,2014-11-18,2014-12-04,2014-12-18,2015-01-08,2015-01-22,2015-02-05,2015-03-19,2015-04-23,2015-05-22,2015-07-02,2015-08-17,2015-09-15,2015-10-23,2015-12-03,2016-01-05,2016-03-01,2016-04-22,2016-07-11,2016-09-19,2016-09-27,2017-01-31,2017-06-12,2017-08-22,2018-05-03
26-diMN,fresh,treatment,2,77,2,23.2,13.5,14,18.5,11.1,16.2,17.4,20.5,-7.1,21.4,28.9,35,41.3,46,51.6,54.9,61.4,54.7,66.1,69.3,74.4,82.3,86.6,90.9,87.1,103.5,91,121.5
26-diMN,fresh,treatment,3,77,3,21.6,13,7,4.2,5.9,2.8,3.7,3.8,1.5,2.6,3.4,7.3,12.4,15.5,13.3,13.2,13.2,15.3,16.4,13.4,16.1,15,15.6,18.5,NA,NA,100.4,NA
26-diMN,saline,sterile_control,1,97,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26-diMN,saline,sterile_control,2,97,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26-diMN,saline,sterile_control,3,97,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26-diMN,saline,treatment,1,77,1,17.5,8.5,5.1,3.3,6.1,5,5.6,16.4,16.4,20.5,28,34.7,40.3,50.3,56.9,42.6,9.1,11.1,110.4,134.3,152.9,180.5,194.4,224.7,225.5,261.1,251.6,260.7
26-diMN,saline,treatment,2,77,2,18.7,8.2,3.5,0.4,4,1.8,3.4,8.9,7.9,13.7,20,31.9,37,53.3,52.4,59.8,7.4,87.5,98,124.5,136.7,162.7,181.4,213.8,176.3,207.7,221.8,221.7
26-diMN,saline,treatment,3,77,3,25.7,20.9,12.1,13.1,16.1,13.6,14.2,17,16.2,19.4,28.7,36.2,43.1,52.3,51.7,60.5,74.3,88,105.3,145.6,151,185.2,207.2,239.9,223.1,272.3,275.8,286.9
DBT,brackish,sterile_control,1,97,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DBT,brackish,sterile_control,2,97,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DBT,brackish,sterile_control,3,97,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DBT,brackish,treatment,1,77,1,31,25.1,25.1,39.3,37,37,47.4,59.1,44.1,70,79,91.8,90.2,106.6,108.9,117.2,131.6,146.9,147.4,171,175.8,201.3,213.8,92.1,131.7,162,171.4,210.8
DBT,brackish,treatment,2,77,2,24.7,18.2,35.1,44.6,44.9,57.6,62.1,71.6,72.6,82.2,91.9,98.3,97.5,109.5,112.4,123.9,134.2,141,139.4,157.5,164.7,221.9,194.7,13.3,113.7,139.5,158,191.2
DBT,brackish,treatment,3,77,3,15.1,14.8,11.5,9.2,12.9,14.5,NA,37.9,44.8,53.8,73.2,86.4,90.8,103.6,103.4,116.2,124.9,132.8,130.4,152.2,153.9,169.6,192.4,59.3,93,133.2,144.7,191
DBT,fresh,sterile_control,1,97,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DBT,fresh,sterile_control,2,97,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DBT,fresh,sterile_control,3,97,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DBT,fresh,treatment,1,77,1,60.6,51.1,21.1,60.3,43.4,44.8,42.4,41.7,39.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA,NA
DBT,fresh,treatment,2,77,2,33.5,24.4,16.9,20.5,17.6,16.1,15.4,15.4,13.9,14.7,16.1,17.3,22.1,24.3,23.2,22.7,23.1,25,25.2,23.2,25.4,24.4,24.9,21.2,24.1,25.6,23.3,27.7
